$Student

 CNT          'Country code 3-character'                                                                                                                                                                                  
 CNTRYID      'Country Identifier'                                                                                                                                                                                        
 CNTSCHID     'Intl. School ID'                                                                                                                                                                                           
 CNTSTUID     'Intl. Student ID'                                                                                                                                                                                          
 CYC          'PISA Assessment Cycle (2 digits + 2 character Assessment type - MS/FT)'                                                                                                                                    
 NatCen       'National Centre 6-digit Code'                                                                                                                                                                              
 STRATUM      'Stratum ID 5-character (cnt + original stratum ID)'                                                                                                                                                        
 SUBNATIO     'Adjudicated sub-region code 7-digit code (3-digit country code + region ID + stratum ID)'                                                                                                                  
 REGION       'REGION'                                                                                                                                                                                                    
 OECD         'OECD country'                                                                                                                                                                                              
 ADMINMODE    'Mode of Respondent'                                                                                                                                                                                        
 LANGTEST_QQQ 'Language of Questionnaire'                                                                                                                                                                                 
 LANGTEST_COG 'Language of Assessment'                                                                                                                                                                                    
 LANGTEST_PAQ 'Language of Parent Questionnaire'                                                                                                                                                                          
 Option_CT    'Creative Thinking Option'                                                                                                                                                                                  
 Option_FL    'Financial Literacy Option'                                                                                                                                                                                 
 Option_ICTQ  'ICT Questionnaire Option'                                                                                                                                                                                  
 Option_WBQ   'Well-Being Questionnaire Option'                                                                                                                                                                           
 Option_PQ    'Parent Questionnaire Option'                                                                                                                                                                               
 Option_TQ    'Teacher Questionnaire Option'                                                                                                                                                                              
 Option_UH    'Une Heure Option'                                                                                                                                                                                          
 BOOKID       'Form Identifier'                                                                                                                                                                                           
 ST001D01T    'Student International Grade (Derived)'                                                                                                                                                                     
 ST003D02T    'Student (Standardized) Birth - Month'                                                                                                                                                                      
 ST003D03T    'Student (Standardized) Birth -Year'                                                                                                                                                                        
 ST004D01T    'Student (Standardized) Gender'                                                                                                                                                                             
 ST250Q01JA   'Which of the following are in your [home]: A room of your own'                                                                                                                                             
 ST250Q02JA   'Which of the following are in your [home]: A computer (laptop, desktop, or tablet) that you can use for school work'                                                                                       
 ST250Q03JA   'Which of the following are in your [home]: Educational Software or Apps'                                                                                                                                   
 ST250Q04JA   'Which of the following are in your [home]: Your own [cell phone] with Internet access (e.g. smartphone)'                                                                                                   
 ST250Q05JA   'Which of the following are in your [home]: Internet access (e.g. Wi-fi) (excluding through smartphones)'                                                                                                   
 ST250D06JA   'Which of the following are in your home? <Country-specific item 1>'                                                                                                                                        
 ST250D07JA   'Which of the following are in your home? <Country-specific item 2>'                                                                                                                                        
 ST251Q01JA   'How many of these items are there at your [home]: Cars, vans, or trucks'                                                                                                                                   
 ST251Q02JA   'How many of these items are there at your [home]: Mopeds or motorcycles'                                                                                                                                   
 ST251Q03JA   'How many of these items are there at your [home]: Rooms with a bath or shower'                                                                                                                             
 ST251Q04JA   'How many of these items are there at your [home]: Rooms with a [flush toilet]'                                                                                                                             
 ST251Q06JA   'How many of these items are there at your [home]: Musical instruments (e.g. guitar, piano, [country-specific example])'                                                                                    
 ST251Q07JA   'How many of these items are there at your [home]: Works of art (e.g. paintings, sculptures, [country-specific example])'                                                                                   
 ST251D08JA   'How many of these items are there at your home? <Country-specific item 1>'                                                                                                                                 
 ST251D09JA   'How many of these items are there at your home? <Country-specific item 2>'                                                                                                                                 
 ST253Q01JA   'How many [digital devices] with screens are there in your [home]?'                                                                                                                                         
 ST254Q01JA   'How many of the following [digital devices] are in your [home]: Televisions'                                                                                                                               
 ST254Q02JA   'How many of the following [digital devices] are in your [home]: Desktop computers'                                                                                                                         
 ST254Q03JA   'How many of the following [digital devices] are in your [home]: Laptop computers or notebooks'                                                                                                             
 ST254Q04JA   'How many of the following [digital devices] are in your [home]: Tablets (e.g. [iPad®], [BlackBerry® Playbook™])'                                                                                           
 ST254Q05JA   'How many of the following [digital devices] are in your [home]: E-book readers (e.g. [Kindle™], [Kobo], [Bookeen])'                                                                                        
 ST254Q06JA   'How many of the following [digital devices] are in your [home]: [Cell phones] with Internet access (i.e. smartphones)'                                                                                     
 ST255Q01JA   'How many books are there in your [home]?'                                                                                                                                                                  
 ST256Q01JA   'How many of these books at [home]: Religious books (e.g. [Bible], [Example 2])'                                                                                                                            
 ST256Q02JA   'How many of these books at [home]: Classical literature (e.g. [Shakespeare], [Example 2])'                                                                                                                 
 ST256Q03JA   'How many of these books at [home]: Contemporary literature'                                                                                                                                                
 ST256Q06JA   'How many of these books at [home]: Books on science'                                                                                                                                                       
 ST256Q07JA   'How many of these books at [home]: Books on art, music, or design'                                                                                                                                         
 ST256Q08JA   'How many of these books at [home]: [Technical reference books]'                                                                                                                                            
 ST256Q09JA   'How many of these books at [home]: Dictionaries'                                                                                                                                                           
 ST256Q10JA   'How many of these books at [home]: Books to help with your school work'                                                                                                                                    
 ST230Q01JA   'How many siblings (including brothers, sisters, step-brothers, and step-sisters) do you have?'                                                                                                             
 ST005Q01JA   'What is the [highest level of schooling] completed by your mother?'                                                                                                                                        
 ST006Q01JA   'Does your mother have any of the following qualifications: [ISCED level 8]'                                                                                                                                
 ST006Q02JA   'Does your mother have any of the following qualifications: [ISCED level 7]'                                                                                                                                
 ST006Q03JA   'Does your mother have any of the following qualifications: [ISCED level 6]'                                                                                                                                
 ST006Q04JA   'Does your mother have any of the following qualifications: [ISCED level 5]'                                                                                                                                
 ST006Q05JA   'Does your mother have any of the following qualifications: [ISCED level 4]'                                                                                                                                
 ST007Q01JA   'What is the [highest level of schooling] completed by your father?'                                                                                                                                        
 ST008Q01JA   'Does your father have any of the following qualifications: [ISCED level 8]'                                                                                                                                
 ST008Q02JA   'Does your father have any of the following qualifications: [ISCED level 7]'                                                                                                                                
 ST008Q03JA   'Does your father have any of the following qualifications: [ISCED level 6]'                                                                                                                                
 ST008Q04JA   'Does your father have any of the following qualifications: [ISCED level 5]'                                                                                                                                
 ST008Q05JA   'Does your father have any of the following qualifications: [ISCED level 4]'                                                                                                                                
 ST258Q01JA   'In the past 30 days, how often did you not eat because there was not enough money to buy food?'                                                                                                            
 ST259Q01JA   'Now think about where you would place your family on this scale. Where would you say your family stands at this time?'                                                                                     
 ST259Q02JA   'Now think about where you would place your family on this scale. Where do you think you will stand when you are 30?'                                                                                       
 ST019AQ01T   'In what country were you and your parents born? You'                                                                                                                                                       
 ST019BQ01T   'In what country were you and your parents born? Mother'                                                                                                                                                    
 ST019CQ01T   'In what country were you and your parents born? Father'                                                                                                                                                    
 ST021Q01TA   'How old were you when you arrived in [country of test]?'                                                                                                                                                   
 ST022Q01TA   'What language do you speak at home most of the time?'                                                                                                                                                      
 ST226Q01JA   'How long have you been enrolled at this school?'                                                                                                                                                           
 ST125Q01NA   'How old were you when you started [ISCED 0]: Years'                                                                                                                                                        
 ST126Q01TA   'How old were you when you started [ISCED 1]: Years'                                                                                                                                                        
 ST127Q01TA   'Have you ever repeated a [grade]: At [ISCED 1]'                                                                                                                                                            
 ST127Q02TA   'Have you ever repeated a [grade]: At [ISCED 2]'                                                                                                                                                            
 ST127Q03TA   'Have you ever repeated a [grade]: At [ISCED 3]'                                                                                                                                                            
 ST260Q01JA   'Have you ever missed school for more than three months in a row: At [ISCED 1]'                                                                                                                             
 ST260Q02JA   'Have you ever missed school for more than three months in a row: At [ISCED 2]'                                                                                                                             
 ST260Q03JA   'Have you ever missed school for more than three months in a row: At [ISCED 3]'                                                                                                                             
 ST261Q01JA   'Why miss school for 3+ months: I was bored.'                                                                                                                                                               
 ST261Q02JA   'Why miss school for 3+ months: I was suspended for something (e.g. violence, aggression, use of drugs, drug dealing).'                                                                                     
 ST261Q03JA   'Why miss school for 3+ months: I was pregnant.'                                                                                                                                                            
 ST261Q04JA   'Why miss school for 3+ months: I could not reach school because of transportation problems.'                                                                                                               
 ST261Q05JA   'Why miss school for 3+ months: I had to take care of a family member.'                                                                                                                                     
 ST261Q06JA   'Why miss school for 3+ months: I had to help with work at home, the family business, or on the family land.'                                                                                               
 ST261Q07JA   'Why miss school for 3+ months: I had to get work to bring money home.'                                                                                                                                     
 ST261Q08JA   'Why miss school for 3+ months: I was sick.'                                                                                                                                                                
 ST261Q09JA   'Why miss school for 3+ months: I did not feel safe at school.'                                                                                                                                             
 ST261Q10JA   'Why miss school for 3+ months: I could not pay [school fees].'                                                                                                                                             
 ST261Q11JA   'Why miss school for 3+ months: School was closed because of a natural disaster (e.g. flood, earthquake).'                                                                                                  
 ST062Q01TA   'In the last two full weeks of school, how often: I [skipped] a whole school day'                                                                                                                           
 ST062Q02TA   'In the last two full weeks of school, how often: I [skipped] some classes'                                                                                                                                 
 ST062Q03TA   'In the last two full weeks of school, how often: I arrived late for school'                                                                                                                                
 ST267Q01JA   'Agree/disagree: The teachers at my school are respectful towards me.'                                                                                                                                      
 ST267Q02JA   'Agree/disagree: If I walked into my classes upset, my teachers would be concerned about me.'                                                                                                               
 ST267Q03JA   'Agree/disagree: If I came back to visit my school 3 years from now, my teachers would be excited to see me.'                                                                                               
 ST267Q04JA   'Agree/disagree: I feel intimidated by the teachers at my school.'                                                                                                                                          
 ST267Q05JA   'Agree/disagree: When my teachers ask how I am doing, they are really interested in my answer.'                                                                                                             
 ST267Q06JA   'Agree/disagree: The teachers at my school are friendly towards me.'                                                                                                                                        
 ST267Q07JA   'Agree/disagree: The teachers at my school are interested in students' well-being.'                                                                                                                         
 ST267Q08JA   'Agree/disagree: The teachers at my school are mean towards me.'                                                                                                                                            
 ST034Q01TA   'Agree/disagree:  I feel like an outsider (or left out of things) at school.'                                                                                                                               
 ST034Q02TA   'Agree/disagree:  I make friends easily at school.'                                                                                                                                                         
 ST034Q03TA   'Agree/disagree:  I feel like I belong at school.'                                                                                                                                                          
 ST034Q04TA   'Agree/disagree:  I feel awkward and out of place in my school.'                                                                                                                                            
