"","CNTSCHID","ST004D01T","Freq","Mean","s.e.","SD","s.e"
"1","38000001","Female",17,509.06,6.86,58.19,8.27
"2","38000001","Male",23,528.84,4.16,78.53,4.2
"3","38000002","Female",5,328.11,12.27,44.7,14.43
"4","38000002","Male",8,317.35,14.45,41.91,11.19
"5","38000003","Female",16,402.33,7.93,58.84,7.35
"6","38000003","Male",22,439.59,6.34,75.55,10.91
"7","38000004","Female",9,443.06,8.94,88.49,8.63
"8","38000004","Male",33,500.23,4.62,72.57,6.1
"9","38000005","Female",9,454.28,23.89,54.78,11.44
"10","38000005","Male",28,483.17,12.96,68.26,9.65
"11","38000006","Female",25,464.23,4.95,57.34,4.15
"12","38000006","Male",13,516.82,7.23,56.88,6.4
"13","38000007","Female",19,590.02,4.7,66.71,5.58
"14","38000007","Male",23,596.93,6.28,56.51,6.25
"15","38000008","Female",27,381.31,4.33,58.8,6.6
"16","38000008","Male",9,381.86,8.49,44.42,9.18
"17","38000009","Female",27,486.58,6.48,63.13,4.79
"18","38000009","Male",12,506.04,7.24,83.11,11.43
"19","38000010","Female",21,503.77,7.22,62.02,5.79
"20","38000010","Male",19,534.45,5.14,58.69,6.66
"21","38000011","Female",23,489.34,6.14,90.74,3.6
"22","38000011","Male",12,531.74,6.13,68.24,8.42
"23","38000012","Female",15,458.75,12.17,72.27,10.89
"24","38000012","Male",10,429.08,26.54,88.2,20.16
"25","38000013","Female",17,428.44,5.39,57.77,5.72
"26","38000013","Male",19,421.78,9.48,56.73,6.13
"27","38000014","Female",7,510.69,13.92,36.28,10.72
"28","38000014","Male",35,536.21,5.17,72.95,5.38
"29","38000015","Female",4,404.8,11.17,88.3,14.05
"30","38000015","Male",4,386.91,14.56,69.49,15.08
"31","38000016","Female",21,531.07,8.04,63.86,7.19
"32","38000016","Male",21,592.61,4.7,52.83,5.12
"33","38000017","Female",21,432.4,6.27,60.46,3.65
"34","38000017","Male",15,471.99,6.62,65.37,5.51
"35","38000018","Female",16,401.8,6.12,57.79,7.24
"36","38000018","Male",23,412.77,8.03,55.8,4.94
"37","38000019","Female",10,394.8,8.31,60.74,5.36
"38","38000019","Male",21,455.37,8.99,59.63,5.23
"39","38000020","Female",7,506.65,20.96,45.05,13.16
"40","38000020","Male",9,544.65,28.68,92.76,28.09
"41","38000021","Male",14,386.11,7.79,46.86,7.28
"42","38000022","Female",25,497.44,11.68,55.1,8.37
"43","38000022","Male",13,475.76,14.34,43.82,8.82
"44","38000023","Female",1,NA,NA,NA,NA
"45","38000024","Female",30,503.69,2.87,65.11,5.25
"46","38000024","Male",12,571.98,7.15,43.04,6.49
"47","38000025","Female",25,499.84,5.41,75.12,4.36
"48","38000025","Male",16,561.18,6.98,81.93,5.25
"49","38000026","Female",18,565.41,4.23,61.45,6.05
"50","38000026","Male",20,583.1,6.61,66.52,4.99
"51","38000027","Female",20,479.96,14.13,49.03,7.96
"52","38000027","Male",18,481.42,11.16,62.31,9.67
"53","38000028","Female",10,538.98,23.18,61.6,16.33
"54","38000028","Male",15,499.53,19.73,89.58,15.66
"55","38000029","Female",5,430.74,42.29,80.97,32.52
"56","38000029","Male",9,443.39,18.39,45.06,14.4
"57","38000030","Female",24,427.83,12.14,59.92,9.29
"58","38000030","Male",15,483.51,18.73,69.71,14.04
"59","38000031","Female",23,501.28,5.56,62.75,7.28
"60","38000031","Male",12,550.82,7.52,50.5,7.36
"61","38000032","Female",22,465.42,12.76,55.44,9.69
"62","38000032","Male",15,455.8,21.8,73.11,13.27
"63","38000033","Female",29,469.74,11.51,69.26,9.5
"64","38000033","Male",7,504.17,29.37,70.12,19.78
"65","38000034","Female",12,378.08,20.03,57.63,12.36
"66","38000034","Male",8,415.13,23.13,62.86,13.63
"67","38000035","Female",31,515.2,14.97,56.53,6.74
"68","38000035","Male",7,536.54,16.98,35.04,12.24
"69","38000036","Female",19,491.99,14.32,58.16,9.48
"70","38000036","Male",18,467.48,14.13,51.79,10.5
"71","38000037","Female",3,390.62,20.42,50.62,18.64
"72","38000037","Male",29,399.58,7.02,77.93,4.59
"73","38000038","Female",33,445.06,12.5,61.61,7.26
"74","38000038","Male",6,491.22,28.96,60.82,17.36
"75","38000039","Female",13,427.74,6.67,51.13,8.39
"76","38000039","Male",24,422.58,6.71,67.17,4.61
"77","38000040","Female",31,468.73,11.76,55.16,7.99
"78","38000040","Male",6,483.46,23.93,46.08,15.99
"79","38000041","Female",22,391.29,3.82,46.33,2.99
"80","38000041","Male",16,403.6,5.57,53.67,6.78
"81","38000042","Female",3,459.3,18.41,19.45,14.77
"82","38000042","Male",35,427.74,12.16,67.7,8.73
"83","38000043","Female",3,372.29,20.89,59.9,22.62
"84","38000043","Male",8,372.19,9.72,48.47,8.77
"85","38000045","Female",12,503.29,9.01,40.74,7.23
"86","38000045","Male",19,500.31,9.89,82.3,5.36
"87","38000046","Female",28,406.69,5.23,61.61,6.11
"88","38000046","Male",7,400.58,12.19,57.87,9.16
"89","38000047","Female",9,517.98,9.04,57.83,15.03
"90","38000047","Male",29,543.88,5.97,70.62,3.89
"91","38000048","Male",1,NA,NA,NA,NA
"92","38000049","Female",12,472.3,18.76,65.35,19.84
"93","38000049","Male",24,513.71,13.13,58.36,7.76
"94","38000050","Female",6,397.6,15.5,45.51,10.68
"95","38000050","Male",6,358.75,14.61,69.53,12.92
"96","38000051","Female",20,381.4,13.88,53.64,8.3
"97","38000051","Male",3,376.88,22.64,24.72,13.27
"98","38000052","Female",29,467.24,4.35,46.45,4.22
"99","38000052","Male",7,518.25,10.03,48.17,8.27
"100","38000053","Female",32,475.01,10.47,50.37,9.19
"101","38000053","Male",4,540.24,37.71,49.51,18.93
"102","38000054","Female",3,557.48,13.31,33.71,17
"103","38000054","Male",36,554,6.57,56.56,4.53
"104","38000055","Male",7,406.36,8.18,63.44,17.32
"105","38000056","Female",5,511.69,10.07,47.19,11.61
"106","38000056","Male",33,521.35,4.63,62.2,4.14
"107","38000057","Female",3,645.39,20.31,21.86,12.07
"108","38000057","Male",26,569.87,13.79,58.85,7.93
"109","38000058","Female",5,396.16,14.22,37.52,12.47
"110","38000058","Male",23,397.14,7.59,86.31,3.64
"111","38000060","Female",17,543.74,21.32,75.82,14.98
"112","38000060","Male",23,551.1,13.59,53.77,8.67
"113","38000061","Female",36,470.59,8.56,46.58,6.39
"114","38000061","Male",4,418.47,23.88,35.3,14.31
"115","38000062","Female",22,467.02,5.33,66.63,5.44
"116","38000062","Male",15,532.28,7.18,88.32,6.57
"117","38000063","Female",14,440.91,24.7,85.2,15.79
"118","38000063","Male",23,441.92,13.22,74.52,9.22
"119","38000064","Female",15,463.34,5.31,63.66,7.69
"120","38000064","Male",22,451.2,6.41,55.36,5.69
"121","38000065","Female",11,356.38,18.43,59.46,15.12
"122","38000065","Male",18,353.98,10.42,42.51,9.51
"123","38000066","Female",8,468.44,18.53,43.95,13.59
"124","38000066","Male",4,512.24,19.36,71.11,27.12
"125","38000067","Female",26,504.5,6.06,57.25,6.34
"126","38000067","Male",13,508.01,8.32,57.09,7.45
"127","38000068","Female",24,500.5,8.05,66.09,6.76
"128","38000068","Male",14,524.1,5.41,75.12,4.12
"129","38000069","Female",26,452.26,11.76,55.77,8.19
"130","38000069","Male",9,465.97,17.73,46.14,12.28
"131","38000070","Female",16,505.75,8.07,74.03,8.15
"132","38000070","Male",21,550.62,5.63,83.64,6.97
"133","38000071","Female",25,463.34,5.59,71.76,7.03
"134","38000071","Male",14,461.74,8.08,77.96,7.07
"135","38000072","Male",33,432.83,11.58,69.51,8.69
"136","38000073","Female",8,372.22,9.91,65.35,9.03
"137","38000073","Male",29,398.76,2.94,80.37,5.78
"138","38000074","Female",12,475.05,21.3,62.33,16.3
"139","38000074","Male",2,468.09,25.32,74.12,18.38
"140","38000075","Female",6,486.11,12.16,39.17,10.76
"141","38000075","Male",28,503.25,5.37,63.8,5.74
"142","38000076","Male",1,NA,NA,NA,NA
"143","38000077","Female",19,450.41,8.39,62.94,4.98
"144","38000077","Male",19,508.05,6.32,90.45,4.12
"145","38000078","Female",3,484.2,42.86,46.1,16.19
"146","38000078","Male",17,507.3,18.54,63.61,11.97
"147","38000079","Female",29,528.53,11.63,66.63,9.61
"148","38000079","Male",12,552.12,20.25,67.22,15.38
"149","38000080","Female",14,521.23,8.61,78.24,4.29
"150","38000080","Male",16,507.26,4.48,47.48,4.9
"151","38000081","Male",34,390.2,10.78,51.94,7.63
"152","38000082","Female",9,415.49,16.53,48.19,12.45
"153","38000082","Male",10,451.61,14.76,68.65,13.09
"154","38000083","Male",20,431,14.98,62.56,11.08
"155","38000084","Female",2,386.33,27.23,18.45,13.06
"156","38000084","Male",17,467.59,20.57,69.57,12.17
"157","38000085","Female",27,509.69,5.23,60.94,5.41
"158","38000085","Male",11,581.44,9.03,66.83,6.73
"159","38000086","Female",19,596.11,7.72,47.37,5.99
"160","38000086","Male",21,599.71,5.93,68.32,6.91
"161","38000087","Female",16,429.93,22.31,73.31,14.1
"162","38000087","Male",15,428.62,20.97,81.78,9.44
"163","38000088","Female",21,395.24,4.83,80.51,4.95
"164","38000088","Male",18,453.51,6.85,106.52,6.47
"165","38000089","Female",25,546.88,12.41,64.27,8.14
"166","38000089","Male",15,554.48,16.98,58.81,14.15
"167","38000090","Female",26,475.61,6.26,83.27,5.21
"168","38000090","Male",12,491.71,7.42,49.45,3.97
"169","38000091","Female",21,416.92,7,65.57,6.75
"170","38000091","Male",18,474.1,4.31,72.08,6.47
"171","38000092","Female",23,459.77,2.58,42.18,7.06
"172","38000092","Male",16,466.41,4.23,66.18,7.23
"173","38000093","Female",2,390.79,38.68,97.84,25.84
"174","38000093","Male",27,432.44,4.66,81.93,4.05
"175","38000094","Female",8,490.62,22.63,49.82,14.87
"176","38000094","Male",17,518.25,16.54,62.68,11.88
"177","38000095","Female",32,460.21,4.04,63.46,5.49
"178","38000095","Male",8,508.2,7.39,37.26,8.47
"179","38000096","Male",5,374.12,27.65,48.19,20.18
"180","38000097","Female",8,393.09,10.52,55.14,8.08
"181","38000097","Male",16,380.32,7.3,51.04,5.61
"182","38000098","Female",11,472.45,7.76,72.92,6.66
"183","38000098","Male",24,472.13,6.48,61.21,7.06
"184","38000099","Female",13,387.45,14.12,43.58,12.83
"185","38000099","Male",8,416.82,17.12,40.14,16.13
"186","38000100","Female",2,300,36.12,25.73,20.37
"187","38000100","Male",17,365.92,5.71,51.29,6.76
"188","38000101","Female",17,420.37,4.67,61.98,4.87
"189","38000101","Male",13,470.31,4.92,47.42,4.2
"190","38000102","Female",14,473.23,24.13,87.15,16.98
"191","38000102","Male",23,456.09,16.66,68.46,10.46
"192","38000103","Female",23,371.09,4.64,51.27,6.82
"193","38000103","Male",5,363.81,14.39,42.19,12.41
"194","38000104","Female",26,421.98,4.7,46.17,5.36
"195","38000104","Male",9,423.24,9.32,76.31,9.13
"196","38000105","Female",27,489.4,4.96,62.94,5.81
"197","38000105","Male",7,545.5,9.83,69.09,8.9
"198","38000106","Female",3,445.71,21.62,20.09,8.28
"199","38000106","Male",8,444.01,28.13,62.19,20.68
"200","38000107","Female",9,405.2,11.22,46.71,8.1
"201","38000107","Male",17,400.29,9.76,71.72,5.78
"202","38000108","Female",10,490.83,18.01,48.22,12.22
"203","38000108","Male",7,526.51,24.7,56.72,16.35
"204","38000109","Female",6,436.01,19.27,41.3,12.46
"205","38000109","Male",26,402.47,14.03,65.6,9.37
"206","38000110","Female",8,401.33,20.31,64.27,15.4
"207","38000110","Male",9,357.24,18.29,37.99,11.69
"208","38000111","Female",27,427.44,10.42,48.09,7.02
"209","38000111","Male",9,396.8,22.67,50.92,12
"210","38000112","Female",2,293.08,22.49,24.48,16.01
"211","38000112","Male",1,NA,NA,NA,NA
"212","38000113","Female",2,382.23,13.9,49.2,19.16
"213","38000113","Male",2,354.17,18.45,13.56,11.66
"214","38000114","Female",19,436.25,5.25,47.25,6.24
"215","38000114","Male",18,451.79,6.92,67.27,6.93
"216","38000115","Female",18,454.16,14.76,51.1,9.44
"217","38000115","Male",5,405.53,40.62,62.07,22.13
"218","38000116","Female",14,412.52,6.8,57.94,7.66
"219","38000116","Male",11,391.84,12.03,44.53,6.51
"220","38000117","Female",21,501.72,19.1,73.51,10.88
"221","38000117","Male",16,530.58,16.25,58.55,14.68
"222","38000118","Female",15,473.02,17.2,66.8,15.03
"223","38000118","Male",25,512.62,13.35,68.32,11.34
"224","38000119","Female",22,460.43,7.6,62.41,4.93
"225","38000119","Male",18,489.06,6.6,73.49,5.41
"226","38000120","Female",13,523.97,5.29,50.59,10.73
"227","38000120","Male",23,517.64,5.07,62.29,3.75
"228","38000121","Female",8,433.87,9.27,61.65,9.09
"229","38000121","Male",5,437.26,10.17,64.88,10
"230","38000122","Female",13,485.58,7.23,60.24,7.18
"231","38000122","Male",23,517.45,4.71,79.56,4.02
"232","38000123","Female",5,402.86,26.22,40.37,15.37
"233","38000123","Male",32,443.7,15.27,73.25,9.81
"234","38000124","Female",4,563.15,36.8,48.86,20.95
"235","38000124","Male",8,580.6,21.23,54.96,14.49
"236","38000125","Female",15,483.76,8.41,58.47,7.2
"237","38000125","Male",24,535.35,6.84,60.24,5.37
"238","38000126","Female",33,493.2,11.06,65.57,9.35
"239","38000126","Male",6,507.95,18.79,43.59,13.99
"240","38000127","Female",7,387.11,19.42,37.03,11.59
"241","38000127","Male",7,415.74,29.64,71.19,18.87
"242","38000128","Female",14,558.16,6.58,74.81,7.47
"243","38000128","Male",22,584.13,5.13,85.17,5.73
"244","38000129","Female",17,400.42,5.3,70.48,6.11
"245","38000129","Male",17,454.78,7.9,56.38,5.1
"246","38000130","Female",30,475.48,11.89,74.67,8.85
"247","38000130","Male",9,455.88,20.23,54.18,19.14
"248","38000131","Female",6,491.7,13.6,49.54,12.64
"249","38000131","Male",31,504.7,2.42,60.46,4.99
"250","38000132","Female",16,423.66,5.7,59.81,4.92
"251","38000132","Male",23,445.64,7.16,77.53,4.98
"252","38000133","Female",18,446.68,13.13,67.16,10.78
"253","38000133","Male",6,465.61,25.52,42.17,13
"254","38000134","Female",19,455.51,5.14,57.27,7.41
"255","38000134","Male",21,444.96,4.78,62.41,5.42
"256","38000135","Female",25,489.2,9.81,78.5,2.58
"257","38000135","Male",13,555.09,5.21,71.9,9.36
"258","38000136","Female",6,363.53,20.63,46.34,19.03
"259","38000136","Male",14,413.99,16.75,57.31,11.56
"260","38000137","Female",9,491.7,16.74,34.28,10.5
"261","38000137","Male",29,515.45,13.92,59.46,6.76
"262","38000138","Female",4,477.13,16.84,43.56,20.23
"263","38000138","Male",32,494.13,5.25,74.61,3.35
"264","38000139","Female",17,482.65,7.45,69.31,5.8
"265","38000139","Male",21,554.05,6.01,58.45,5.7
"266","38000140","Female",28,500.98,6.06,74.29,5.26
"267","38000140","Male",12,510.38,7.87,59.05,5.29
"268","38000142","Female",17,424.36,9.55,72.45,7.91
"269","38000142","Male",17,465.51,6.79,84.82,7.06
"270","38000143","Female",9,368.43,19.29,47.26,15.11
"271","38000143","Male",27,392.43,11,54.85,8
"272","38000144","Female",3,505.69,41.54,66.25,28.85
"273","38000144","Male",4,498.01,23.19,41.86,14.96
"274","38000145","Female",4,386.75,14.89,32.74,14.16
"275","38000145","Male",26,404.78,5.79,74.66,6.8
"276","38000146","Female",6,351.18,13.45,60.39,9.92
"277","38000146","Male",1,NA,NA,NA,NA
"278","38000147","Female",5,403.71,24.32,63.34,19.27
"279","38000147","Male",7,436.92,31.95,68.11,18.12
"280","38000148","Female",27,518.22,4.13,49.71,4.84
"281","38000148","Male",13,564,6.51,63.33,7.87
"282","38000149","Female",6,550.35,5.72,38.18,10.01
"283","38000149","Male",23,565.97,3.47,62.57,6.47
"284","38000150","Female",20,573.6,6.98,78.6,5.06
"285","38000150","Male",21,607.93,6.71,49.1,5.18
"286","38000151","Female",3,444.85,15.52,78.07,10.38
"287","38000151","Male",2,515.59,23.02,75.21,30.87
"288","38000152","Female",29,389.45,5.29,60.36,4.63
"289","38000152","Male",8,411.04,10.65,72.76,11.38
"290","38000153","Female",4,517.88,20.93,27.85,9.84
"291","38000153","Male",33,529.99,12.3,68.74,9.49
"292","38000154","Male",31,425.32,11.42,52.25,8.45
"293","38000155","Female",20,467.62,8.08,63.65,6.54
"294","38000155","Male",18,472.07,5.71,73.84,7.98
"295","38000156","Female",23,395.52,7.63,48.93,4.31
"296","38000156","Male",2,367.95,12.77,10.17,6.16
"297","38000157","Female",20,506.98,5.98,49.5,7.47
"298","38000157","Male",19,540.49,7.99,77.83,7.28
"299","38000158","Female",1,NA,NA,NA,NA
"300","38000158","Male",1,NA,NA,NA,NA
"301","38000159","Female",26,510.82,10.74,72.4,7.91
"302","38000159","Male",16,542.45,14.85,63.15,14.72
"303","38000160","Female",26,436.6,3.62,57.01,6.37
"304","38000160","Male",10,432.71,7.18,57.01,6.4
"305","38000161","Female",31,475.26,4.43,60.09,3.67
"306","38000161","Male",7,439.13,10.78,50.85,9.84
"307","38000162","Female",2,396.52,22.61,17.92,15.39
"308","38000162","Male",34,440.6,3.17,77.3,3.48
"309","38000163","Female",19,579.5,11.18,47.98,10.12
"310","38000163","Male",19,614.12,15.89,75.45,13.25
"311","38000164","Female",28,489.82,3.66,72.63,4.39
"312","38000164","Male",13,554.88,6.01,55.25,7
"313","38000165","Female",23,355.02,13.46,56.37,9.77
"314","38000165","Male",7,370.46,18.54,36.48,11.45
"315","38000166","Female",4,580.72,15.92,47.34,13.15
"316","38000166","Male",15,566.95,7.37,68.42,7.2
"317","38000167","Female",4,426.18,9.82,54.23,12.73
"318","38000167","Male",19,412.14,5.65,74.9,6.23
"319","38000168","Female",20,440.33,6.03,58.21,9.65
"320","38000168","Male",16,478.84,8.11,55.92,5.45
"321","38000169","Female",24,505.85,3.97,59.51,6.34
"322","38000169","Male",15,510.8,7.14,65.06,5.99
"323","38000170","Female",15,522.92,9.63,61.15,4.78
"324","38000170","Male",25,566.72,4.19,63.52,6.83
"325","38000171","Female",5,531.65,10.99,67.38,10.4
"326","38000171","Male",30,561.92,4.49,63.5,5.56
"327","38000172","Female",2,309.22,18.48,30.34,21.42
"328","38000172","Male",1,NA,NA,NA,NA
"329","38000173","Female",22,447.22,15.38,62.75,12
"330","38000173","Male",10,473.28,21.36,56.53,16.58
"331","38000174","Female",16,410.69,17.12,57.73,13.36
"332","38000174","Male",20,441.24,16.61,49.27,9.29
"333","38000175","Female",13,411.6,6.06,49.99,9.43
"334","38000175","Male",13,401.12,10.67,53.43,9.75
"335","38000176","Female",28,433.18,4.71,64.03,7.69
"336","38000176","Male",8,431.82,10.01,100.79,6.79
"337","38000177","Female",25,482.74,4.95,71.94,6.91
"338","38000177","Male",12,560.26,8.47,68.47,6.8
"339","38000178","Female",18,366.7,7.91,48.22,6.46
"340","38000178","Male",16,351.74,5.65,54.9,7.73
"341","38000179","Female",17,384.17,6.39,67.74,6.16
"342","38000179","Male",13,381.18,12.08,57.73,9.75
"343","38000180","Female",23,430.36,9.79,43.03,7.4
"344","38000180","Male",13,459.77,26.27,69.71,12.32
"345","38000181","Female",14,507.06,5.81,41.76,5.84
"346","38000181","Male",24,493.98,6.15,78.48,5.02
"347","38000182","Male",2,303.48,26.1,12.92,12.26
"348","38000183","Female",27,452.96,7.58,74.93,5.4
"349","38000183","Male",12,528.44,8.18,47.76,10.71
"350","38000184","Female",12,344.77,8.96,66.27,12.67
"351","38000184","Male",22,376.35,5.24,68.68,4.69
"352","38000185","Female",19,463.86,12.78,53.77,9.34
"353","38000185","Male",19,439.72,15.21,78.02,14.03
"354","38000186","Female",8,418.2,9.22,45.26,10.33
"355","38000186","Male",26,395.04,5.18,72.9,5.28
"356","38000187","Female",13,376.17,9.66,65.64,8.84
"357","38000187","Male",15,403.71,9.1,68.22,4.93
"358","38000188","Female",3,502.03,68.22,79.55,24.93
"359","38000188","Male",5,440.58,30.41,47.35,15.16
"360","38000189","Female",21,407.67,4.76,56.7,5.56
"361","38000189","Male",13,443.77,8.35,76.14,6.98
"362","38000190","Female",14,525.74,17.13,60.7,12.73
"363","38000190","Male",26,539.58,17.02,66.85,8.08
"364","38000191","Male",3,366.52,20.89,33,15.05
"365","38000192","Female",13,503.49,27.22,79.92,18.71
"366","38000192","Male",28,479.58,11.29,63.06,10.88
"367","38000193","Female",7,427.25,17.03,57.27,12.08
"368","38000193","Male",9,442.36,20.79,50.14,13.22
"369","38000194","Female",17,544.91,6.67,69.57,5.33
"370","38000194","Male",18,551.02,3.45,54.51,7.92
"371","38000195","Female",10,471.6,7.28,36.41,11.68
"372","38000195","Male",14,518.79,6.43,51.33,6.52
"373","38000196","Female",24,437.22,3.82,40.49,6.92
"374","38000196","Male",12,443.84,5.96,38.2,8.43
"375","38000197","Female",15,476.63,16.86,62.6,12.05
"376","38000197","Male",3,434.1,60.13,96.81,26.04
"377","38000198","Female",19,485.06,16.67,61.88,13.52
"378","38000198","Male",20,511.5,17.31,68.74,11.92
"379","38000199","Female",16,548.6,6.38,60.88,5.74
"380","38000199","Male",26,538.8,7.7,65.55,5.27
"381","38000200","Female",36,485.06,10.51,69.65,9.89
"382","38000200","Male",5,474.89,22.23,42.23,18.91
"383","38000201","Female",20,527.33,14.89,69.73,14.51
"384","38000201","Male",19,553.12,15.14,67.99,13.23
"385","38000202","Female",5,483.83,8.72,71.93,5.89
"386","38000202","Male",5,549.88,11.53,30.05,8.84
"387","38000203","Female",9,336.89,22.03,47.29,15.3
"388","38000203","Male",27,405.85,13.86,74.12,12.29
"389","38000204","Female",23,518.31,12.78,80.83,14.76
"390","38000204","Male",18,598.74,13.78,54.56,13.04
"391","38000205","Female",3,480.3,34.14,48.15,22.69
"392","38000205","Male",34,540.54,13.3,85.53,11.17
"393","38000206","Female",13,457.98,8.25,71.31,4.59
"394","38000206","Male",8,513.42,8.17,63.74,11.6
"395","38000207","Female",28,377.49,15.04,66.5,13.28
"396","38000207","Male",9,373.26,22.07,62.57,14.79
"397","38000208","Female",8,485.05,19.99,37.67,11.92
"398","38000208","Male",8,474.4,32.04,86.89,22.92
"399","38000209","Female",22,490.36,6.79,51.36,5.27
"400","38000209","Male",17,482.6,5.54,77.55,7.84
"401","38000210","Female",34,469.13,5.74,56.22,2.95
"402","38000210","Male",7,472.37,6.62,47.4,13.51
"403","38000211","Female",20,491.66,6.16,66.27,3.34
"404","38000211","Male",21,566.9,6.71,63.98,4.79
"405","38000212","Female",19,538.01,7.39,78.97,4.34
"406","38000212","Male",22,556.18,7.42,68.39,5.35
"407","38000213","Female",19,390.76,4.6,56.17,10.5
"408","38000213","Male",18,399.02,4.99,52.45,4.51
"409","38000214","Female",12,402.12,9.07,60.21,12.52
